C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	16	ICD	  9	    11477	59.7
 2	P	 2	16	ICD	 10	    11435	59.7
 2	P	 2	16	ICD	 11	    11415	59.7
 2	P	 2	16	ICD	 12	    11450	59.7
 2	P	 2	16	ICD	 13	    11425	59.7
 2	P	 2	16	ICD	 14	    11318	59.7
 2	P	 2	16	ICD	 15	    11458	59.7
 2	P	 2	16	ICD	 16	    11355	59.7
 2	P	 2	16	ICD	 17	    11449	59.7
 2	P	 2	16	ICD	 18	    11329	59.7
 2	P	 2	16	ICD	 19	    11374	59.7
 2	P	 2	16	ICD	 20	    11438	59.7
 2	P	 2	16	ICD	 21	    11435	59.7
 2	P	 2	16	ICD	 22	    11562	59.7
 2	P	 2	16	ICD	 23	    11674	59.7
 2	P	 2	16	ICD	 24	    12004	59.7
 2	P	 2	16	ICD	 25	    12627	59.7
 2	P	 2	16	ICD	 26	    13720	59.7
 2	P	 2	16	ICD	 27	    15679	59.7
 2	P	 2	16	ICD	 28	    18357	59.7
 2	P	 2	16	ICD	 29	    21661	59.7
 2	P	 2	16	ICD	 30	    24652	59.7
 2	P	 2	16	ICD	 31	    27022	59.7
 2	P	 2	16	ICD	 32	    28604	59.7
 2	P	 2	16	ICD	 33	    29438	59.7
 2	P	 2	16	ICD	 34	    30175	59.7
 2	P	 2	16	ICD	 35	    30216	59.7
 2	P	 2	16	ICD	 36	    30541	59.7
 2	P	 2	16	ICD	 37	    30644	59.7
 2	P	 2	16	ICD	 38	    30747	59.7
 2	P	 2	16	ICD	 39	    30876	59.7
 2	P	 2	16	ICD	 40	    30579	59.7
 2	P	 2	16	ICD	 41	    30736	59.7
 2	P	 2	16	ICD	 42	    30849	59.7
 2	P	 2	16	ICD	 43	    30650	59.7
 2	P	 2	16	ICD	 44	    30772	59.7
 2	P	 2	16	ICD	 45	    30692	59.7
 2	P	 2	16	Salmo	  1	    10844	59.5
 2	P	 2	16	Salmo	  2	    10529	59.6
 2	P	 2	16	Salmo	  3	    10360	59.6
 2	P	 2	16	Salmo	  4	    10387	59.6
 2	P	 2	16	Salmo	  5	    10401	59.7
 2	P	 2	16	Salmo	  6	    10528	59.7
 2	P	 2	16	Salmo	  7	    10484	59.6
 2	P	 2	16	Salmo	  8	    10461	59.7
 2	P	 2	16	Salmo	  9	    10543	59.6
 2	P	 2	16	Salmo	 10	    10553	59.7
 2	P	 2	16	Salmo	 11	    10571	59.7
 2	P	 2	16	Salmo	 12	    10656	59.7
 2	P	 2	16	Salmo	 13	    10672	59.7
 2	P	 2	16	Salmo	 14	    10737	59.7
 2	P	 2	16	Salmo	 15	    10625	59.7
 2	P	 2	16	Salmo	 16	    10764	59.7
 2	P	 2	16	Salmo	 17	    10707	59.7
 2	P	 2	16	Salmo	 18	    10791	59.7
 2	P	 2	16	Salmo	 19	    10754	59.7
 2	P	 2	16	Salmo	 20	    10819	59.7
 2	P	 2	16	Salmo	 21	    10807	59.7
 2	P	 2	16	Salmo	 22	    10801	59.7
 2	P	 2	16	Salmo	 23	    10893	59.7
 2	P	 2	16	Salmo	 24	    10888	59.7
 2	P	 2	16	Salmo	 25	    10853	59.7
 2	P	 2	16	Salmo	 26	    10909	59.7
 2	P	 2	16	Salmo	 27	    10937	59.7
